Intimidation,Anti-Islamic,FL,4
Robbery,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",ID,1
Agg asslt,Anti-Hispanic or Latino,IL,4
Agg asslt,Anti-Black or African American,IL,47
Simple asslt,Anti-Multi-Racial,IL,1
Simple asslt,Anti-Asian,IN,3
Destruct/vandalism,Anti-Multi-Racial,MD,2
Simple asslt,Anti-White,NC,21
Simple asslt,Anti-White,NH,1
Burg/B & E,Anti-Hispanic or Latino,OK,1
Intimidation,Anti-Black or African American,OR,30
Destruct/vandalism,Anti-Islamic,PA,1
Burg/B & E,Anti-Jewish,UT,1
Arson,Anti-Black or African American,MO,2
Simple asslt,Anti-American Indian or Alaska Native,WI,3
Destruct/vandalism,Anti-Other Religion,KS,2
Motor vehicle theft,Anti-American Indian or Alaska Native,MO,1
Destruct/vandalism,Anti-Male Homosexual,OK,3
Burg/B & E,Anti-Islamic,SC,1
Burg/B & E,Anti-Multi-Racial,TX,1
Intimidation,Anti-American Indian or Alaska Native,CT,1
Agg asslt,Anti-Hispanic or Latino,KS,1
Simple asslt,Anti-Not Hispanic or Latino,WV,1
Burg/B & E,Anti-Mental Disability,AR,3
Robbery,Anti-American Indian or Alaska Native,AZ,2
Simple asslt,Anti-Hispanic or Latino,CA,88
Fondling (Indecent Liberties/Child Molesting),Anti-American Indian or Alaska Native,KY,2
Intimidation,Anti-Male Homosexual,MA,160
Simple asslt,Anti-Male Homosexual,MA,94
Simple asslt,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",MT,3
Motor vehicle theft,Anti-Black or African American,UT,1
Simple asslt,Anti-Hispanic or Latino,VA,13
All other larceny,Anti-Mental Disability,WI,1
Intimidation,Anti-Asian,CT,5
Simple asslt,Anti-Islamic,NJ,1
Intimidation,Anti-Hispanic or Latino,SC,2
Drug equip violations,Anti-Hispanic or Latino,NB,1
Destruct/vandalism,Anti-Other Religion,OK,3
Counterfeit/forgery,Anti-Protestant,TN,1
Simple asslt,Anti-Female,MA,9
Simple asslt,Anti-Islamic,MO,2
Shoplifting,Anti-Mental Disability,VA,1
Destruct/vandalism,Anti-Bisexual,OR,1
Destruct/vandalism,Anti-Not Hispanic or Latino,AZ,7
Arson,Anti-Black or African American,IL,2
Theft from building,Anti-White,MI,7
All other larceny,Anti-Black or African American,MI,3
Destruct/vandalism,Anti-Hispanic or Latino,NY,13
Destruct/vandalism,Anti-White,OH,33
Intimidation,Anti-American Indian or Alaska Native,OH,40
Agg asslt,Anti-Islamic,OK,2
Credit card/ATM fraud,Anti-Male Homosexual,TN,1
Simple asslt,Anti-Asian,UT,1
Intimidation,Anti-Not Hispanic or Latino,SC,4
Robbery,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",VA,1
Theft of mv parts,Anti-White,ID,1
Destruct/vandalism,Anti-Male Homosexual,PA,5
Weapon law violations,Anti-American Indian or Alaska Native,WA,1
Motor vehicle theft,Anti-Asian,CT,4
Robbery,Anti-Multi-Racial,NC,1
Destruct/vandalism,Anti-Catholic,OH,5
All other larceny,Anti-Multi-Racial,WA,1
Fondling (Indecent Liberties/Child Molesting),Anti-Not Hispanic or Latino,AZ,1
Drug/Narc violations,Anti-Black or African American,SC,1
Intimidation,Anti-Heterosexual,VA,1
Murder/non-neg manslaughter,Anti-Islamic,AK,1
All other larceny,Anti-Protestant,MA,1
Destruct/vandalism,Anti-Female Homosexual,ME,1
Burg/B & E,Anti-Not Hispanic or Latino,NY,3
Destruct/vandalism,Anti-Catholic,VA,2
Simple asslt,Anti-Female,MO,1
Simple asslt,Anti-Multi-Racial,MT,1
Shoplifting,Anti-Asian,WA,1
Destruct/vandalism,Anti-Arab,CA,5
Simple asslt,"Anti-Eastern Orthodox (Greek, Russian, etc)",KY,7
Simple asslt,Anti-Mental Disability,MA,5
Stolen property offenses,Anti-Black or African American,OH,1
Burg/B & E,Anti-Not Hispanic or Latino,VA,1
Destruct/vandalism,Anti-Protestant,NJ,1
Robbery,Anti-Female Homosexual,TX,1
Agg asslt,Anti-Male Homosexual,IL,17
Intimidation,Anti-Islamic,KY,6
Intimidation,Anti-White,OK,5
Destruct/vandalism,Anti-Islamic,GA,1
Impersonation,Anti-Bisexual,OH,1
Robbery,Anti-White,PA,1
Burg/B & E,Anti-Asian,WA,1
Arson,Anti-White,AR,1
Destruct/vandalism,Anti-Hispanic or Latino,GA,2
Burg/B & E,Anti-Protestant,NY,1
Burg/B & E,Anti-Black or African American,KS,1
Motor vehicle theft,Anti-Catholic,MI,1
Simple asslt,Anti-Islamic,WA,3
All other larceny,Anti-Not Hispanic or Latino,WA,2
Theft from motor vehicle,Anti-Protestant,WA,1
Burg/B & E,Anti-Black or African American,AZ,9
Theft from building,Anti-Protestant,CO,1
