Rape,Highway/road/alley,12
Intimidation,Hotel/motel,49
Drug equip violations,Highway/road/alley,28
Burg/B & E,Convenience store,2
Shoplifting,Convenience store,9
Arson,Parking lot/garage,4
Embezzlement,Other/unknown,1
Impersonation,Residence/home,25
Counterfeit/forgery,Residence/home,3
Pocket-picking,Residence/home,2
Impersonation,Convenience store,1
Shoplifting,Shopping mall,3
Intimidation,Camp/campground,2
Drug/Narc violations,Abandoned/condemned structure,1
Simple asslt,Service/gas station,68
Intimidation,Specialty store,85
Arson,Terminal,1
Credit card/ATM fraud,Office building,1
Robbery,School--elementary/secondary,4
Drug/Narc violations,Parking lot/garage,8
Extort/blackmail,School--elementary/secondary,1
Theft from motor vehicle,Park/playground,1
Burg/B & E,Rental store,7
Theft from building,School/college,1
Burg/B & E,School--elementary/secondary,9
Kidnapping/abduction,Construction site,1
Destruct/vandalism,Rest area,12
Rape,Park/playground,1
Motor vehicle theft,Terminal,1
Agg asslt,Terminal,57
Credit card/ATM fraud,Convenience store,4
Theft of mv parts,Office building,2
Destruct/vandalism,Shopping mall,29
Destruct/vandalism,Bank,15
All other larceny,Church/Synagogue/Temple,30
Simple asslt,Liquor store,15
Impersonation,Parking lot/garage,2
Pocket-picking,Parking lot/garage,1
Embezzlement,Auto dealership new/used,1
Murder/non-neg manslaughter,Residence/home,7
Simple asslt,Church/Synagogue/Temple,52
Motor vehicle theft,Auto dealership new/used,1
All other larceny,ATM separate from bank,1
Sodomy,Field/woods,1
All other larceny,Hotel/motel,2
Destruct/vandalism,Auto dealership new/used,2
Simple asslt,ATM separate from bank,1
Impersonation,Bank,4
Agg asslt,Rental store,2
All other larceny,Terminal,8
Purse-snatching,Other/unknown,1
Sodomy,Park/playground,1
Agg asslt,Rest area,1
All other larceny,Service/gas station,13
Drug equip violations,Restaurant,2
Weapon law violations,Bar,2
Agg asslt,Community center,1
Arson,Church/Synagogue/Temple,45
Theft from building,Other/unknown,10
Kidnapping/abduction,Residence/home,9
Drug/Narc violations,Highway/road/alley,95
Agg asslt,School--elementary/secondary,39
Simple asslt,Hotel/motel,56
Credit card/ATM fraud,Service/gas station,1
Credit card/ATM fraud,School--college/university,1
Intimidation,Convenience store,130
Drug/Narc violations,Convenience store,4
Burg/B & E,Abandoned/condemned structure,2
Destruct/vandalism,Parking lot/garage,561
Burg/B & E,Residence/home,442
Simple asslt,Lake/waterway,14
Simple asslt,Auto dealership new/used,3
Weapon law violations,School/college,3
Shoplifting,Drug store/dr office/hosp,5
Agg asslt,Shelter--mission/homeless,2
Bribery,Parking lot/garage,1
Destruct/vandalism,Lake/waterway,11
Burg/B & E,Bar,2
Robbery,Govt/public building,1
Agg asslt,Jail/prison,61
Destruct/vandalism,Department store,34
Burg/B & E,Parking lot/garage,8
Rape,Office building,1
Counterfeit/forgery,Office building,1
Credit card/ATM fraud,Other/unknown,3
Robbery,Lake/waterway,1
All other larceny,School--college/university,7
Counterfeit/forgery,Grocery/supermarket,2
Intimidation,Tribal lands,1
Intimidation,Community center,9
Shoplifting,Office building,3
Drug/Narc violations,Grocery/supermarket,1
Robbery,School--college/university,2
