Robbery,Residence/home,CA,18
Destruct/vandalism,Highway/road/alley,CT,26
Intimidation,Construction site,ID,1
Theft from motor vehicle,Highway/road/alley,KS,2
Simple asslt,Terminal,MA,4
Intimidation,Parking lot/garage,MO,3
Agg asslt,Restaurant,MO,1
Intimidation,Highway/road/alley,TN,24
Agg asslt,Other/unknown,TX,4
Destruct/vandalism,Parking lot/garage,UT,5
Intimidation,School--elementary/secondary,VA,7
Intimidation,Specialty store,WA,5
Destruct/vandalism,Specialty store,WI,2
Intimidation,Hotel/motel,AL,1
Destruct/vandalism,Liquor store,AZ,1
Agg asslt,Other/unknown,GA,1
Destruct/vandalism,Other/unknown,KY,5
Counterfeit/forgery,Convenience store,KY,2
Intimidation,Shopping mall,MI,6
Pocket-picking,Parking lot/garage,MI,1
Destruct/vandalism,Terminal,WA,5
Destruct/vandalism,Rental store,WI,1
Extort/blackmail,Residence/home,KS,1
Shoplifting,Specialty store,KY,1
Rape,Residence/home,MA,2
Intimidation,Drug store/dr office/hosp,WV,1
Simple asslt,Park/playground,UT,1
Destruct/vandalism,Residence/home,DE,6
Agg asslt,Field/woods,IL,2
Destruct/vandalism,Other/unknown,MA,33
Simple asslt,Department store,MA,3
Destruct/vandalism,Residence/home,MD,23
Destruct/vandalism,Other/unknown,ME,5
Destruct/vandalism,Lake/waterway,NH,2
All other larceny,Residence/home,NY,24
Intimidation,Parking lot/garage,OR,7
Theft from motor vehicle,Residence/home,SC,2
Destruct/vandalism,Highway/road/alley,SD,3
Simple asslt,Residence/home,TX,55
Destruct/vandalism,Office building,VA,11
Intimidation,Hotel/motel,AZ,2
Intimidation,School/college,IN,2
Arson,Residence/home,PA,6
Destruct/vandalism,Hotel/motel,TN,5
Simple asslt,Office building,KS,1
Drug equip violations,Other/unknown,KY,1
Simple asslt,Grocery/supermarket,ME,1
Intimidation,School--college/university,MO,8
Shoplifting,Grocery/supermarket,WA,5
Agg asslt,Church/Synagogue/Temple,CA,1
Theft from motor vehicle,Residence/home,LA,1
Agg asslt,Restaurant,MN,3
All other larceny,Other/unknown,MN,1
Intimidation,Hotel/motel,OH,4
Destruct/vandalism,Park/playground,IN,1
Destruct/vandalism,Community center,MA,1
Destruct/vandalism,Specialty store,CA,14
Intimidation,Parking lot/garage,IL,4
Simple asslt,School/college,KS,11
Simple asslt,Parking lot/garage,MD,4
Theft from motor vehicle,Amusement park,CO,1
Agg asslt,Jail/prison,IL,3
Simple asslt,Bar,KS,6
Agg asslt,Residence/home,OK,3
Embezzlement,Office building,SD,1
Agg asslt,Convenience store,UT,1
Simple asslt,Convenience store,WI,1
Intimidation,School--college/university,CO,5
Simple asslt,Liquor store,MO,1
Drug/Narc violations,Residence/home,ND,1
Counterfeit/forgery,Restaurant,WV,1
All other larceny,Church/Synagogue/Temple,AZ,1
Destruct/vandalism,Jail/prison,LA,1
Destruct/vandalism,Construction site,SC,1
Drug/Narc violations,Field/woods,IN,1
Simple asslt,Daycare facility,OH,2
Robbery,Highway/road/alley,KY,16
Shoplifting,Convenience store,MT,2
Burg/B & E,Residence/home,NV,10
Intimidation,Convenience store,SC,2
Destruct/vandalism,Highway/road/alley,TX,19
Intimidation,Office building,VA,7
Intimidation,School--elementary/secondary,AL,1
Simple asslt,Parking lot/garage,IN,4
Motor vehicle theft,Residence/home,UT,1
Intimidation,Other/unknown,ID,1
Agg asslt,Field/woods,KS,1
Drug/Narc violations,Highway/road/alley,MO,1
Agg asslt,School/college,NJ,1
Intimidation,Drug store/dr office/hosp,KS,1
Impersonation,Liquor store,KY,1
