OFFCOD1EXTNEW,STATECOD,count(OFFCOD1)
Stolen property offenses,MA,1
Burg/B & E,MI,57
Intimidation,MO,100
Theft from motor vehicle,ND,9
Simple asslt,WV,39
Rape,AL,1
Sodomy,KY,2
Theft of mv parts,MT,2
Extort/blackmail,WI,2
False pretenses/swindle/conf game,MO,1
Agg asslt,SD,12
All other larceny,MT,10
Intimidation,OH,602
Theft from motor vehicle,SC,5
False pretenses/swindle/conf game,WV,3
All other larceny,IL,11
Burg/B & E,MD,1
Destruct/vandalism,AR,18
Intimidation,CA,905
Kidnapping/abduction,TX,1
Impersonation,WI,1
Rape,NY,5
Wire fraud,OH,3
Shoplifting,TN,13
Rape,MO,2
Arson,AR,1
Destruct/vandalism,KS,89
Arson,MI,8
Destruct/vandalism,OR,134
Robbery,NM,3
Shoplifting,CT,2
Counterfeit/forgery,KY,9
False pretenses/swindle/conf game,OR,1
Shoplifting,CO,4
Counterfeit/forgery,TN,3
Credit card/ATM fraud,MS,1
Counterfeit/forgery,VA,1
Intimidation,AR,32
Robbery,GA,6
Credit card/ATM fraud,OK,1
Destruct/vandalism,MS,1
All other larceny,NY,48
Burg/B & E,WA,45
Arson,SC,4
Embezzlement,SD,1
Theft from motor vehicle,MS,1
Extort/blackmail,KS,1
Rape,LA,1
Simple asslt,WA,290
Assist prostitution,OH,1
Credit card/ATM fraud,VA,1
Drug/Narc violations,WV,7
Destruct/vandalism,OK,29
Agg asslt,IA,11
Rape,IL,2
Destruct/vandalism,NH,39
Impersonation,SC,1
Stolen property offenses,AZ,1
Theft of mv parts,KY,2
Weapon law violations,OR,1
Intimidation,AZ,285
Embezzlement,MS,1
Robbery,OH,51
Intimidation,WI,39
Assist prostitution,CT,1
Theft from motor vehicle,ID,1
Impersonation,KY,4
Theft from coin-op machine,SC,1
Motor vehicle theft,TN,3
All other larceny,DC,2
Motor vehicle theft,MI,6
Pocket-picking,MI,1
All other larceny,LA,8
Burg/B & E,MS,1
Embezzlement,WV,1
Arson,MN,3
Shoplifting,MT,6
Burg/B & E,WV,14
Sodomy,CO,3
All other larceny,KY,49
Intimidation,NB,20
False pretenses/swindle/conf game,VA,3
Pocket-picking,OH,1
Rape,CO,4
Drug/Narc violations,MS,3
All other larceny,TX,5
Destruct/vandalism,SD,32
Simple asslt,WY,5
Arson,NM,2
Theft from building,SC,4
Robbery,MT,1
Shoplifting,PA,2
Rape,VA,1
Rape,UT,1
Statutory rape,WV,2
False pretenses/swindle/conf game,NB,1
All other larceny,AL,8
Simple asslt,SC,93
Robbery,UT,1
Shoplifting,SC,13
Destruct/vandalism,VA,303
Burg/B & E,VA,11
Arson,FL,2
Simple asslt,MD,44
Simple asslt,MN,127
Simple asslt,VT,17
Motor vehicle theft,WV,3
Murder/non-neg manslaughter,FL,2
Theft from building,KY,1
Theft from motor vehicle,LA,1
Agg asslt,VT,4
Theft of mv parts,TN,2
Intimidation,VA,111
Stolen property offenses,WI,1
Agg asslt,FL,98
Destruct/vandalism,IA,16
Pornography/obscene material,MI,2
Rape,PA,1
Drug/Narc violations,LA,1
Destruct/vandalism,ND,28
Agg asslt,PA,27
Fondling (Indecent Liberties/Child Molesting),SC,3
Agg asslt,TX,116
Extort/blackmail,MI,2
All other larceny,TN,20
Destruct/vandalism,WA,348
Drug/Narc violations,SD,1
Murder/non-neg manslaughter,MO,1
Murder/non-neg manslaughter,SC,1
Burg/B & E,MA,30
Robbery,NV,20
Burg/B & E,ID,5
Weapon law violations,MA,2
Impersonation,MI,4
Arson,OK,3
Robbery,ID,2
Destruct/vandalism,KY,199
Intimidation,RI,5
Extort/blackmail,UT,2
Theft from motor vehicle,VA,3
Theft from motor vehicle,SD,1
Intimidation,SD,9
Drug equip violations,ND,2
Arson,NJ,5
False pretenses/swindle/conf game,CO,2
Theft from building,WA,12
Credit card/ATM fraud,MO,3
All other larceny,ME,1
Destruct/vandalism,NY,1404
Murder/non-neg manslaughter,WA,1
Robbery,MA,17
,,0
Weapon law violations,KS,1
False pretenses/swindle/conf game,MI,8
Arson,NC,7
Theft from building,UT,7
Weapon law violations,VA,4
Shoplifting,AZ,2
Theft of mv parts,ID,1
Shoplifting,MS,3
All other larceny,SC,25
Burg/B & E,MO,17
Intimidation,NY,92
Impersonation,TN,2
Arson,KS,1
All other larceny,VA,10
Simple asslt,IA,8
Agg asslt,NH,5
All other larceny,NV,3
Motor vehicle theft,UT,5
Robbery,LA,2
Counterfeit/forgery,CO,1
Robbery,DC,37
Murder/non-neg manslaughter,CA,6
Counterfeit/forgery,KS,1
Theft from building,MI,11
Robbery,NJ,9
All other larceny,RI,1
All other larceny,OR,7
Theft of mv parts,OR,1
Shoplifting,LA,1
Arson,IL,3
Shoplifting,KY,8
Agg asslt,MO,76
All other larceny,UT,21
Destruct/vandalism,DE,16
Agg asslt,OK,14
Agg asslt,DE,5
Robbery,NB,3
Drug/Narc violations,AZ,1
Theft of mv parts,OH,3
Theft from coin-op machine,TX,1
Burg/B & E,FL,12
Burg/B & E,KS,14
Theft of mv parts,MI,2
Burg/B & E,PA,2
Robbery,TN,20
Impersonation,WA,10
Counterfeit/forgery,MT,2
Arson,WI,3
Theft from building,CO,3
Simple asslt,MI,419
All other larceny,NM,2
Burg/B & E,NV,13
Arson,NV,5
Counterfeit/forgery,WI,1
Drug equip violations,CT,1
Rape,NV,1
Simple asslt,GA,46
Burg/B & E,IL,6
Rape,MA,4
Drug/Narc violations,MT,2
All other larceny,IN,2
Simple asslt,CA,932
Murder/non-neg manslaughter,NY,5
Intimidation,OR,72
Rape,TN,4
Drug equip violations,UT,16
Wire fraud,CT,1
Destruct/vandalism,MN,146
Theft from building,ID,2
Drug equip violations,AZ,1
Sodomy,KS,1
Robbery,CO,30
Weapon law violations,UT,8
Drug equip violations,MT,2
Destruct/vandalism,VT,21
Theft from building,WI,4
Extort/blackmail,KY,2
Credit card/ATM fraud,WV,1
Agg asslt,WA,153
Intimidation,WV,8
Murder/non-neg manslaughter,UT,1
Drug equip violations,NB,1
Robbery,FL,7
Intimidation,TX,149
Drug/Narc violations,RI,1
Theft of mv parts,UT,1
Simple asslt,ME,41
Theft from motor vehicle,MO,4
Fondling (Indecent Liberties/Child Molesting),UT,4
False pretenses/swindle/conf game,MA,13
Motor vehicle theft,CA,5
Fondling (Indecent Liberties/Child Molesting),MA,4
Destruct/vandalism,NJ,772
Rape,WA,6
Theft from building,MO,1
Intimidation,SC,69
Destruct/vandalism,WI,79
Rape,OR,2
Sodomy,TN,1
Theft from building,PA,2
Purchasing prostitution,TN,1
Robbery,AK,1
All other larceny,AR,3
Simple asslt,RI,13
Weapon law violations,ND,1
Burg/B & E,IA,2
Destruct/vandalism,AK,8
Agg asslt,ND,19
Burg/B & E,OH,82
Rape,OK,1
Stolen property offenses,SC,1
Weapon law violations,ME,1
Agg asslt,GM,1
Embezzlement,ID,1
Theft of mv parts,MO,1
Pornography/obscene material,SC,1
Counterfeit/forgery,UT,2
Purse-snatching,WA,1
Drug/Narc violations,AR,4
Motor vehicle theft,MA,5
Robbery,MN,20
All other larceny,NJ,12
Drug/Narc violations,IN,3
Theft from building,AR,1
Intimidation,WA,319
Statutory rape,TN,2
Impersonation,TX,1
Burg/B & E,UT,17
Arson,IN,4
Theft from motor vehicle,AZ,3
Theft from motor vehicle,OH,24
Simple asslt,UT,65
Embezzlement,TN,1
Fondling (Indecent Liberties/Child Molesting),MO,1
Burg/B & E,MT,3
Burg/B & E,TN,17
Shoplifting,WI,5
Motor vehicle theft,MO,4
Robbery,AZ,21
Simple asslt,FL,124
Intimidation,MI,660
Robbery,VA,8
Agg asslt,WY,2
Rape,IN,2
Agg asslt,RI,4
Destruct/vandalism,NV,64
Robbery,SD,1
Theft from building,NH,1
Drug/Narc violations,AL,1
Weapon law violations,WI,2
All other larceny,CO,12
All other larceny,CT,17
Agg asslt,ID,27
Theft from motor vehicle,MA,21
Simple asslt,MO,131
Theft from motor vehicle,WI,2
Agg asslt,WV,15
Arson,AK,1
Arson,KY,4
Simple asslt,ND,62
Robbery,PA,3
Simple asslt,MA,332
Theft from building,OH,20
Purse-snatching,OH,2
Simple asslt,NB,52
Burg/B & E,NJ,8
Arson,MO,5
Weapon law violations,MO,3
Destruct/vandalism,PA,54
Simple asslt,AL,35
Simple asslt,OH,244
Theft from motor vehicle,UT,5
Theft from building,MA,10
Extort/blackmail,CO,1
Robbery,NY,13
Theft from building,OR,2
Shoplifting,WV,12
Robbery,OK,1
Destruct/vandalism,ID,36
Intimidation,MS,1
Burg/B & E,MN,3
Drug/Narc violations,KS,1
Motor vehicle theft,KY,7
Destruct/vandalism,MI,355
Agg asslt,NJ,36
Shoplifting,WA,18
Burg/B & E,CT,5
Simple asslt,MS,7
Agg asslt,NB,8
Robbery,ND,2
Counterfeit/forgery,MA,3
False pretenses/swindle/conf game,ID,1
Credit card/ATM fraud,OH,5
All other larceny,NC,9
Burg/B & E,TX,12
Theft from motor vehicle,VT,5
Destruct/vandalism,WV,28
Shoplifting,ND,3
Shoplifting,TX,2
Theft from motor vehicle,NB,1
Counterfeit/forgery,SC,2
Stolen property offenses,KY,2
Simple asslt,DC,150
Destruct/vandalism,DC,55
Burg/B & E,IN,5
Purse-snatching,KY,1
Drug/Narc violations,TX,2
Agg asslt,ME,12
Arson,OH,4
Theft from motor vehicle,WA,30
False pretenses/swindle/conf game,OH,3
Simple asslt,AR,16
Intimidation,DC,51
Agg asslt,OH,63
Destruct/vandalism,RI,28
Agg asslt,TN,111
Agg asslt,AL,12
Intimidation,ME,85
Incest,OH,1
Motor vehicle theft,ND,2
Theft of mv parts,CT,4
Extort/blackmail,MA,1
Destruct/vandalism,NM,12
Kidnapping/abduction,SC,1
Simple asslt,IL,111
All other larceny,MA,39
Theft from building,OK,2
Embezzlement,CT,1
Agg asslt,AZ,170
Agg asslt,KS,28
Burg/B & E,SD,2
Agg asslt,MT,24
Destruct/vandalism,TX,223
Counterfeit/forgery,MI,1
Rape,CA,3
Intimidation,FL,67
Drug equip violations,OH,4
Burg/B & E,VT,1
Shoplifting,MA,12
Intimidation,TN,238
