2012,Sep,Robbery,12
2011,Jul,Theft from building,1
2011,Aug,Stolen property offenses,1
2013,May,Theft from building,2
2015,Mar,Purse-snatching,1
2014,Feb,Agg asslt,32
2014,Feb,Burg/B & E,30
2014,Nov,Drug equip violations,1
2012,Mar,Destruct/vandalism,194
2012,Dec,Arson,2
2013,Jul,Drug equip violations,1
2012,Apr,Agg asslt,55
2012,May,Fondling (Indecent Liberties/Child Molesting),4
2012,Mar,Drug equip violations,1
2015,Mar,Robbery,11
2012,Mar,Burg/B & E,12
2012,Apr,Counterfeit/forgery,2
2015,Aug,Theft of mv parts,1
2014,Feb,Credit card/ATM fraud,1
2013,Mar,Arson,3
2013,Jan,Robbery,10
2013,Feb,Impersonation,1
2015,Jun,Murder/non-neg manslaughter,2
2015,Aug,Burg/B & E,15
2014,Aug,Agg asslt,77
2011,Apr,Arson,4
2011,Aug,False pretenses/swindle/conf game,1
2015,Apr,Burg/B & E,14
2014,Mar,Intimidation,99
2014,Mar,All other larceny,7
2014,Sep,Rape,1
2012,Jan,Simple asslt,111
2012,Mar,Robbery,9
2011,Oct,Theft from building,2
2013,Nov,Fondling (Indecent Liberties/Child Molesting),1
2015,Oct,Impersonation,1
2012,Mar,Theft of mv parts,1
2013,Jul,Murder/non-neg manslaughter,1
2015,Apr,Credit card/ATM fraud,2
2015,Nov,Rape,2
2014,May,Agg asslt,50
2012,Jan,Sodomy,1
2011,Oct,Arson,6
2013,May,Sodomy,1
2013,Jan,Impersonation,1
2015,Jun,All other larceny,11
2014,Jul,Destruct/vandalism,164
2014,Dec,Agg asslt,56
2012,Dec,All other larceny,11
2012,Mar,False pretenses/swindle/conf game,2
2013,Nov,Credit card/ATM fraud,2
2015,Sep,False pretenses/swindle/conf game,1
2015,Jun,Kidnapping/abduction,1
2014,Aug,Shoplifting,1
2012,Aug,Motor vehicle theft,1
2011,Sep,Rape,1
2012,Oct,All other larceny,17
2013,Nov,False pretenses/swindle/conf game,2
2013,Nov,Impersonation,1
2014,Dec,Impersonation,1
