OFFCOD1,OFFCOD1EXT
09A,Murder/non-neg manslaughter
09B,Negligent manslaughter
09C,Justifiable homicide
100,Kidnapping/abduction
11A,Rape
11B,Sodomy
11C,Sex asslt w/object
11D,Fondling (Indecent Liberties/Child Molesting)
120,Robbery
13A,Agg asslt
13B,Simple asslt
13C,Intimidation
200,Arson
210,Extort/blackmail
220,Burg/B & E
23A,Pocket-picking
23B,Purse-snatching
23C,Shoplifting
23D,Theft from building
23E,Theft from coin-op machine
23F,Theft from motor vehicle
23G,Theft of mv parts
23H,All other larceny
240,Motor vehicle theft
250,Counterfeit/forgery
26A,False pretenses/swindle/conf game
26B,Credit card/ATM fraud
26C,Impersonation
26D,Welfare fraud
26E,Wire fraud
270,Embezzlement
280,Stolen property offenses
290,Destruct/vandalism
35A,Drug/Narc violations
35B,Drug equip violations
36A,Incest
36B,Statutory rape
370,Pornography/obscene material
39A,Betting/wagering
39B,Promote gambling
39C,Gambling equip violations
39D,Sports tampering
40A,Prostitution
40B,Assist prostitution
40C,Purchasing prostitution
64A,Human Trafficking - Commercial sex acts
64B,Human Trafficking - Involuntary servitude
510,Bribery
520,Weapon law violations
