2011,Nov,23G,1
2014,Nov,13A,40
2014,Nov,35A,2
2014,Dec,240,1
2012,Sep,23C,3
2012,Aug,09A,1
2011,Jan,13C,128
2013,Dec,09A,1
2015,Dec,23C,3
2015,Nov,26B,2
2014,Sep,100,1
2014,May,23H,17
2012,Feb,120,8
2012,Jun,290,175
2013,Mar,23G,1
2014,Jul,200,1
2013,Feb,120,7
2015,Sep,220,7
2014,Feb,220,30
2014,Feb,200,2
2012,Apr,120,12
2012,Jun,100,2
2015,Jul,13B,150
2015,Apr,11A,1
2015,Nov,520,1
2015,Oct,35B,1
2015,Sep,100,1
2014,Oct,200,1
2011,Mar,11D,1
2013,Jul,23D,1
2013,Jul,26C,1
2014,Oct,13B,130
2014,Sep,13A,50
2014,May,35A,4
2013,Aug,210,1
2012,Feb,23C,3
2011,Jan,120,11
2011,Jan,23D,1
2013,Jan,23B,1
2013,Aug,23C,1
2012,Dec,220,15
2011,Dec,250,1
2013,Mar,23H,7
2015,Mar,250,1
2014,Jan,23G,2
2011,Oct,290,181
2011,Sep,23C,1
2013,Jan,26A,1
2013,May,210,1
2015,Oct,13C,124
2014,Jan,200,1
2014,Jul,35A,2
2012,Dec,290,114
2011,Nov,290,192
2011,Sep,100,1
2013,May,13B,135
2013,Feb,220,8
2013,Jun,11A,1
2015,Aug,290,152
2015,Dec,23D,2
2015,May,35A,1
2015,Aug,35A,1
2015,Nov,23C,5
2011,Nov,120,10
2011,Oct,280,1
2013,Jan,23G,1
2013,Sep,520,2
2013,Jul,35B,1
2015,Nov,13B,116
2015,Apr,13C,124
2015,Apr,23C,3
2014,Jul,23H,19
2014,Aug,520,1
2012,May,13B,140
2013,Feb,100,1
2015,Jul,26C,1
2014,Sep,23F,2
2014,Jun,11A,1
2012,Apr,23H,8
2012,Aug,23H,12
2012,Mar,26A,2
2012,Jan,26B,2
2011,Jul,290,182
2014,Apr,23D,3
2013,May,40A,1
2012,Nov,09A,1
2011,Mar,11C,1
2015,Mar,11D,1
2015,Jun,240,1
2014,Jul,120,8
2014,Jan,270,1
2012,May,23E,1
2011,May,240,1
2013,May,13A,53
2015,Aug,250,1
2014,Jul,290,164
2012,Sep,26A,3
2011,Feb,13C,121
2011,Jul,23C,1
2013,Mar,120,5
2015,Jul,09A,2
2015,Apr,26C,2
2015,Sep,26A,1
2015,Jan,11A,1
2014,May,220,15
2013,Jan,35B,2
2013,Mar,23D,1
2015,Jun,23F,1
2014,Jun,120,12
2012,Feb,220,7
2013,Jun,13C,129
2013,Nov,290,145
2013,Jun,23H,7
2012,Sep,13B,157
2012,Oct,120,12
2012,Feb,250,1
2011,Feb,23H,4
2013,Jul,120,11
2013,Oct,120,9
