Anti-Asian,White,275
Anti-Catholic,American Indian/Alaska Native,3
Anti-Mormon,White,3
Anti-Multi-Racial,Unknown,317
Anti-Jewish,White,537
Anti-Gender Non-Conforming,Unknown,37
"Anti-Eastern Orthodox (Greek, Russian, etc)",Black or African American,5
Anti-Multi-Racial,Multi-Racial Group,17
Anti-Female,White,27
Anti-Black or African American,Unknown,3557
Anti-Black or African American,American Indian/Alaska Native,41
Anti-Jahovah's Witness,Unknown,1
Anti-Transgender,Black or African American,69
Anti-White,Black or African American,1308
Anti-Bisexual,Unknown,43
Anti-Catholic,Asian,1
Anti-Male,Unknown,5
Anti-Other Religion,Multi-Racial Group,9
Anti-Native Hawaiian or Other Pacific Islander,Native Hawaiian or other Pacific Islander,1
Anti-Hispanic or Latino,Native Hawaiian or other Pacific Islander,3
Anti-Heterosexual,Black or African American,20
Anti-Islamic,White,344
Anti-Mental Disability,American Indian/Alaska Native,2
Anti-White,White,685
Anti-American Indian or Alaska Native,American Indian/Alaska Native,22
Anti-Multi-Religious,Unknown,184
Anti-White,American Indian/Alaska Native,60
Anti-Other Christian,Unknown,9
Anti-Other Religion,Asian,7
Anti-Male Homosexual,Asian,34
Anti-Sikh,White,2
"Anti-Eastern Orthodox (Greek, Russian, etc)",White,23
,,0
Anti-Mental Disability,White,127
Anti-Hispanic or Latino,Unknown,503
Anti-Protestant,White,33
Anti-Not Hispanic or Latino,Unknown,593
Anti-Heterosexual,White,39
Anti-Jewish,Black or African American,109
Anti-Male Homosexual,Multi-Racial Group,199
Anti-Atheism/Agnosticism,Black or African American,5
Anti-Atheism/Agnosticism,Unknown,25
Anti-Hispanic or Latino,White,892
Anti-Islamic,Multi-Racial Group,37
Anti-Physical Disability,Black or African American,25
Anti-Mormon,Black or African American,2
Anti-White,Multi-Racial Group,69
Anti-Asian,Multi-Racial Group,13
Anti-Other Religion,American Indian/Alaska Native,2
Anti-Catholic,Multi-Racial Group,5
Anti-American Indian or Alaska Native,White,190
Anti-Gender Non-Conforming,Black or African American,15
Anti-Other Christian,Black or African American,2
Anti-Female,Black or African American,7
Anti-Hindu,White,1
Anti-American Indian or Alaska Native,Asian,6
Anti-White,Asian,19
Anti-Native Hawaiian or Other Pacific Islander,Multi-Racial Group,1
Anti-Buddhist,Asian,1
Anti-Female,Asian,1
"Anti-Eastern Orthodox (Greek, Russian, etc)",Multi-Racial Group,1
Anti-Mental Disability,Black or African American,56
Anti-Bisexual,Black or African American,32
Anti-Atheism/Agnosticism,Multi-Racial Group,1
Anti-Not Hispanic or Latino,Multi-Racial Group,35
Anti-Other Religion,Black or African American,19
Anti-Transgender,Asian,1
Anti-White,Unknown,906
Anti-Multi-Religious,Multi-Racial Group,6
Anti-Catholic,White,59
Anti-Male Homosexual,Unknown,990
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",Asian,10
Anti-Transgender,Unknown,38
Anti-Male,Black or African American,4
Anti-Hispanic or Latino,Black or African American,302
Anti-Multi-Racial,Black or African American,42
Anti-Transgender,White,38
Anti-Arab,White,21
Anti-Transgender,Multi-Racial Group,8
Anti-Bisexual,Multi-Racial Group,5
Anti-Hindu,Unknown,3
Anti-Jewish,Unknown,2831
Anti-Hindu,Asian,1
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",White,575
Anti-Atheism/Agnosticism,White,7
Anti-Mental Disability,Asian,2
Anti-Other Religion,White,120
Anti-Female Homosexual,Unknown,249
Anti-Black or African American,White,5101
Anti-Multi-Racial,White,172
Anti-Female Homosexual,American Indian/Alaska Native,7
Anti-Arab,Black or African American,5
Anti-Islamic,Asian,7
Anti-Islamic,Unknown,384
Anti-Physical Disability,Multi-Racial Group,6
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",Multi-Racial Group,38
Anti-Bisexual,White,65
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",Unknown,516
Anti-Not Hispanic or Latino,Asian,14
Anti-Hispanic or Latino,Multi-Racial Group,39
Anti-Female,Unknown,20
Anti-Hispanic or Latino,American Indian/Alaska Native,19
Anti-Other Christian,White,4
Anti-Sikh,Multi-Racial Group,1
Anti-American Indian or Alaska Native,Unknown,223
Anti-Jewish,Multi-Racial Group,50
Anti-Sikh,Unknown,3
Anti-Protestant,Multi-Racial Group,3
Anti-Asian,Unknown,252
Anti-Gender Non-Conforming,White,36
Anti-Catholic,Black or African American,8
Anti-Protestant,American Indian/Alaska Native,1
Anti-Asian,American Indian/Alaska Native,1
Anti-Protestant,Black or African American,10
Anti-Bisexual,American Indian/Alaska Native,2
Anti-Gender Non-Conforming,Multi-Racial Group,5
Anti-Jewish,Native Hawaiian or other Pacific Islander,1
Anti-Mental Disability,Multi-Racial Group,7
Anti-Catholic,Unknown,252
Anti-Physical Disability,Unknown,42
Anti-Native Hawaiian or Other Pacific Islander,Black or African American,1
Anti-Hispanic or Latino,Asian,8
Anti-Not Hispanic or Latino,American Indian/Alaska Native,11
Anti-Islamic,American Indian/Alaska Native,6
Anti-Physical Disability,American Indian/Alaska Native,1
Anti-Other Religion,Unknown,394
