U,TN,270
M,FL,4
M,CT,19
M,DC,19
W,MI,760
U,CO,221
W,WY,6
I,OK,5
U,OR,162
A,WA,20
M,NH,2
M,WV,2
A,LA,1
M,IA,1
A,MA,13
P,TN,1
W,PA,106
U,MO,173
W,WV,99
W,NM,29
U,FL,199
W,IL,225
M,MS,2
M,NY,255
W,AL,51
M,KS,11
W,ID,91
W,MS,7
U,PA,122
U,UT,150
W,NH,44
M,GA,2
B,AL,16
B,DE,9
W,AR,65
M,VA,20
U,MD,91
A,SD,1
M,OR,8
A,IL,1
M,ME,2
B,NB,13
M,ND,12
W,SC,131
B,OH,335
A,CT,2
W,LA,21
M,NB,8
W,OK,79
A,AK,1
W,MN,212
U,IA,23
A,OH,1
U,DC,86
I,OH,3
W,NC,238
U,SD,40
I,CA,14
I,MT,13
I,NC,1
B,AZ,104
B,MS,11
M,NC,14
A,KS,1
P,IN,1
U,AZ,398
P,CA,3
I,KS,2
M,WA,18
W,SD,31
B,WI,70
W,KS,171
B,MT,1
U,RI,39
U,IL,130
M,MA,18
U,CT,286
M,MI,44
W,DC,53
U,MI,695
U,AR,22
U,LA,26
B,NM,5
M,MD,2
U,ME,62
W,MO,200
M,IN,3
B,TN,303
M,IL,7
A,TX,6
I,NM,4
M,MT,1
B,GA,46
B,VT,2
M,LA,1
B,AK,3
B,MI,421
W,TX,365
W,MD,65
B,UT,14
I,NB,3
B,TX,149
W,CT,264
W,NJ,833
M,AL,1
I,MN,22
I,TN,1
A,UT,6
U,WV,50
M,DE,1
M,CA,134
W,DE,27
A,IA,1
U,OK,50
M,SD,3
W,TN,476
U,TX,258
A,NM,1
A,NY,23
U,AL,45
U,NB,57
I,AL,1
W,CA,1891
W,CO,391
M,OH,33
W,IA,19
B,OR,13
W,FL,192
B,ID,3
W,AZ,485
U,OH,656
W,ND,77
U,NV,86
U,GA,71
M,TX,17
A,PA,1
A,MD,3
U,MA,775
U,MN,202
B,PA,33
P,GM,1
W,MA,733
U,ND,72
W,GA,60
B,MN,122
B,MA,254
W,NB,62
W,WI,105
U,IN,119
I,MI,3
B,NC,124
A,TN,5
W,VT,27
A,IN,3
B,CT,79
A,DC,2
M,MO,10
I,IA,1
B,MO,114
I,OR,5
B,AR,13
A,MI,6
I,SD,16
U,VA,376
A,CO,1
U,DE,24
M,NV,3
U,WI,101
A,WI,1
W,WA,544
A,SC,2
B,OK,23
B,VA,79
I,WY,1
B,KY,123
U,SC,140
M,SC,7
I,AK,3
I,NY,2
P,WA,2
M,ID,3
U,ID,62
W,IN,155
M,CO,14
A,VA,1
I,CO,6
W,AK,20
U,MT,81
U,KY,338
B,NJ,118
B,SC,114
W,ME,131
U,NM,29
B,WV,17
M,TN,20
U,VT,27
U,CA,1797
U,NH,54
B,RI,8
M,AZ,29
I,NJ,4
W,KY,395
M,AR,2
U,MS,4
W,NV,141
M,AK,1
B,NV,75
U,NY,1900
U,WA,586
A,NJ,20
A,AZ,12
M,KY,23
U,KS,126
A,GA,1
B,SD,7
A,NC,2
B,NY,307
W,RI,14
U,NC,271
M,NJ,12
W,VA,201
B,IA,5
B,CO,73
I,ND,23
I,AZ,36
W,MT,69
B,CA,493
B,FL,85
A,MN,11
U,NJ,1106
B,IN,41
B,MD,31
B,DC,202
A,MO,2
W,UT,157
A,NB,1
I,UT,10
I,WI,3
M,UT,5
B,LA,29
W,OR,151
B,KS,39
W,NY,437
U,AK,8
A,CA,57
M,OK,4
B,ND,12
B,ME,3
M,WI,9
M,PA,7
W,OH,643
B,WA,169
B,IL,95
A,KY,2
M,MN,2
I,WA,22
