Anti-Bisexual,CA,15
Anti-Islamic,GA,1
Anti-American Indian or Alaska Native,NM,5
Anti-Multi-Religious,TX,4
Anti-Jewish,IL,28
Anti-Asian,NV,4
Anti-Catholic,OH,7
Anti-Bisexual,WI,3
Anti-White,NH,3
Anti-Jewish,VT,2
Anti-Hispanic or Latino,WY,2
Anti-Protestant,PA,2
Anti-Hispanic or Latino,NH,1
Anti-Not Hispanic or Latino,LA,3
Anti-Asian,MS,1
Anti-Not Hispanic or Latino,AZ,47
Anti-Bisexual,CO,6
Anti-Atheism/Agnosticism,CO,2
Anti-Hispanic or Latino,MI,59
Anti-Male Homosexual,NM,12
Anti-Bisexual,UT,5
"Anti-Eastern Orthodox (Greek, Russian, etc)",KY,38
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",OR,18
Anti-White,SD,17
Anti-Jewish,TN,29
Anti-Mental Disability,TN,40
Anti-Multi-Racial,WI,8
Anti-Protestant,AK,1
Anti-Islamic,AR,1
Anti-Other Religion,CO,13
Anti-Other Religion,FL,4
Anti-Not Hispanic or Latino,NV,5
Anti-Protestant,WI,3
Anti-Transgender,TN,2
Anti-Mental Disability,CO,2
Anti-Not Hispanic or Latino,RI,1
Anti-Not Hispanic or Latino,NJ,104
Anti-Male Homosexual,TN,67
Anti-Physical Disability,CO,7
Anti-Catholic,LA,1
Anti-Atheism/Agnosticism,MT,2
Anti-Jewish,ID,7
Anti-Not Hispanic or Latino,KS,16
Anti-Islamic,ME,12
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",ME,11
Anti-Asian,MI,61
Anti-American Indian or Alaska Native,MO,6
Anti-White,MS,2
Anti-American Indian or Alaska Native,NC,2
Anti-Multi-Racial,OH,34
Anti-Black or African American,SC,128
Anti-White,AL,23
Anti-Hispanic or Latino,MO,17
Anti-Protestant,LA,1
Anti-Not Hispanic or Latino,KY,15
Anti-Physical Disability,GA,2
Anti-Asian,CA,122
Anti-Male Homosexual,NV,69
"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",PA,9
Anti-Transgender,CA,52
Anti-Native Hawaiian or Other Pacific Islander,MO,1
Anti-Black or African American,KY,288
Anti-Other Religion,SC,9
Anti-Islamic,CA,117
Anti-Black or African American,IA,19
Anti-Catholic,SC,1
